Brand,Year of Manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price
TOYOTA,2016,Foreign Used,149753,2500,Hybrid,Automatic,"?5,985,000.00"
TOYOTA,2013,Foreign Used,169183,2700,Petrol,Automatic,"?8,610,000.00"
MERCEDES-BENZ,2013,Foreign Used,222344,3500,Petrol,Automatic,"?8,925,000.00"
TOYOTA,2011,Foreign Used,93785,3000,Petrol,Automatic,"?8,528,000.00"
MERCEDES-BENZ,2010,Nigerian Used,299309,4600,Petrol,Automatic,"?5,775,000.00"
TOYOTA,2009,Foreign Used,137397,2400,Petrol,Automatic,"?3,952,000.00"
ACURA,2011,Nigerian Used,178050,3700,Petrol,Automatic,"?5,200,000.00"
TOYOTA,2015,Foreign Used,218139,2700,Petrol,Automatic,"?8,925,000.00"
MERCEDES-BENZ,2008,Foreign Used,175183,3000,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2010,Foreign Used,158684,2500,Petrol,Automatic,"?3,780,000.00"
MERCEDES-BENZ,2014,Foreign Used,83189,2000,Petrol,Automatic,"?11,232,000.00"
LAND ROVER,2006,Nigerian Used,113872,4400,Petrol,Automatic,"?3,120,000.00"
MERCEDES-BENZ,2007,Nigerian Used,110228,4500,Petrol,Automatic,"?5,200,000.00"
TOYOTA,2011,Foreign Used,257742,3500,Petrol,Automatic,"?4,935,000.00"
TOYOTA,2014,Foreign Used,86077,3500,Petrol,Automatic,"?14,700,000.00"
TOYOTA,2012,Nigerian Used,76334,3500,Petrol,Automatic,"?5,565,000.00"
LEXUS,2014,Foreign Used,139592,4600,Petrol,Automatic,"?23,920,000.00"
MERCEDES-BENZ,2011,Nigerian Used,193201,3500,Petrol,Automatic,"?5,616,000.00"
TOYOTA,2007,Nigerian Used,104336,2400,Petrol,Automatic,"?3,328,000.00"
MERCEDES-BENZ,2006,Foreign Used,239529,5000,Petrol,Automatic,"?4,515,000.00"
LAND ROVER,2006,Foreign Used,118872,3500,Petrol,Automatic,"?3,150,000.00"
TOYOTA,2014,Foreign Used,89208,2500,Petrol,Automatic,"?5,250,000.00"
LEXUS,2008,Nigerian Used,186699,3500,Petrol,Automatic,"?3,640,000.00"
LEXUS,2007,Nigerian Used,156579,3500,Petrol,Automatic,"?5,200,000.00"
LEXUS,2014,Nigerian Used,69129,4600,Petrol,Automatic,"?18,375,000.00"
LAND ROVER,2011,Nigerian Used,7842,4000,Petrol,Automatic,"?6,825,000.00"
TOYOTA,2010,Nigerian Used,106427,3500,Petrol,Automatic,"?6,968,000.00"
TOYOTA,2016,Foreign Used,55055,2500,Petrol,Automatic,"?6,720,000.00"
TOYOTA,2007,Foreign Used,401813,2400,Petrol,Automatic,"?3,885,000.00"
LEXUS,2008,Foreign Used,323768,3500,Petrol,Automatic,"?3,832,500.00"
LINCOLN,2019,Nigerian Used,35976,2000,Petrol,Automatic,"?17,850,000.00"
TOYOTA,2017,Nigerian Used,101979,3500,Petrol,Automatic,"?15,600,000.00"
TOYOTA,2015,Foreign Used,40962,2500,Petrol,Automatic,"?10,400,000.00"
TOYOTA,2011,Foreign Used,142689,2400,Petrol,Automatic,"?4,680,000.00"
MERCEDES-BENZ,2012,Nigerian Used,99661,3500,Petrol,Automatic,"?7,280,000.00"
LAND ROVER,2011,Nigerian Used,7842,4000,Petrol,Automatic,"?6,825,000.00"
MERCEDES-BENZ,2010,Foreign Used,242841,3500,Petrol,Automatic,"?6,615,000.00"
LEXUS,2012,Foreign Used,135295,3500,Petrol,Automatic,"?7,072,000.00"
MERCEDES-BENZ,2013,Nigerian Used,90604,4700,Petrol,Automatic,"?15,600,000.00"
LAND ROVER,2006,Nigerian Used,137818,4000,Petrol,Automatic,"?3,328,000.00"
LEXUS,2007,Nigerian Used,177336,3500,Petrol,Automatic,"?3,650,000.00"
TOYOTA,2010,Foreign Used,159981,3500,Petrol,Automatic,"?7,560,000.00"
LAND ROVER,2010,Nigerian Used,140366,50000,Petrol,Automatic,"?4,200,000.00"
LEXUS,2012,Foreign Used,134949,3500,Petrol,Automatic,"?10,192,000.00"
TOYOTA,2008,Foreign Used,197403,3500,Petrol,Automatic,"?4,200,000.00"
LEXUS,2007,Foreign Used,258585,35000,Petrol,Automatic,"?4,160,000.00"
TOYOTA,2005,Foreign Used,260730,4700,Petrol,Automatic,"?4,992,000.00"
LEXUS,2009,Foreign Used,246462,3500,Petrol,Automatic,"?5,200,000.00"
MERCEDES-BENZ,2014,Nigerian Used,51111,2000,Petrol,Automatic,"?8,320,000.00"
MERCEDES-BENZ,2017,Nigerian Used,33853,3000,Petrol,Automatic,"?33,280,000.00"
TOYOTA,2015,Foreign Used,150157,2700,Petrol,Automatic,"?10,400,000.00"
LEXUS,2007,Foreign Used,175836,3500,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2010,Foreign Used,214972,2500,Petrol,Automatic,"?3,675,000.00"
MERCEDES-BENZ,2012,Foreign Used,165585,3500,Petrol,Automatic,"?13,520,000.00"
LAND ROVER,2006,Nigerian Used,137818,4000,Petrol,Automatic,"?3,328,000.00"
TOYOTA,2017,Nigerian Used,101979,3500,Petrol,Automatic,"?15,600,000.00"
LEXUS,2001,Foreign Used,199731,3000,Petrol,Automatic,"?3,150,000.00"
LEXUS,2007,Foreign Used,110621,2500,Petrol,Automatic,"?4,095,000.00"
GMC,2008,Nigerian Used,167643,3600,Petrol,Automatic,"?3,360,000.00"
MERCEDES-BENZ,2015,Foreign Used,111697,3200,Petrol,Automatic,"?11,550,000.00"
LEXUS,2005,Foreign Used,184460,3000,Petrol,Automatic,"?3,675,000.00"
LEXUS,2007,Nigerian Used,156579,3500,Petrol,Automatic,"?5,200,000.00"
TOYOTA,2009,Foreign Used,176951,2700,Petrol,Automatic,"?6,300,000.00"
TOYOTA,2011,Foreign Used,211357,2500,Petrol,Automatic,"?4,515,000.00"
ACURA,2010,Foreign Used,147282,3700,Petrol,Automatic,"?9,360,000.00"
LEXUS,2010,Nigerian Used,203171,4600,Petrol,Automatic,"?13,520,000.00"
MERCEDES-BENZ,2014,Foreign Used,33820,3500,Petrol,Automatic,"?11,440,000.00"
LEXUS,2007,Foreign Used,158117,3500,Petrol,Automatic,"?3,675,000.00"
LAND ROVER,2016,Foreign Used,102429,35,Petrol,Automatic,"?36,750,000.00"
TOYOTA,2009,Foreign Used,127674,2700,Petrol,Automatic,"?7,140,000.00"
MERCEDES-BENZ,2009,Nigerian Used,100337,4600,Petrol,Automatic,"?4,472,000.00"
TOYOTA,2014,Foreign Used,40470,4000,Petrol,Automatic,"?26,000,000.00"
TOYOTA,2015,Nigerian Used,37591,3500,Petrol,Automatic,"?12,480,000.00"
LAND ROVER,2012,Nigerian Used,22281,4900,Petrol,Automatic,"?8,320,000.00"
TOYOTA,2011,Foreign Used,185047,2500,Petrol,Automatic,"?4,200,000.00"
TOYOTA,2012,Foreign Used,170038,2400,Petrol,Automatic,"?5,250,000.00"
MERCEDES-BENZ,2006,Foreign Used,239529,5000,Petrol,Automatic,"?4,515,000.00"
LEXUS,2007,Foreign Used,258585,35000,Petrol,Automatic,"?4,160,000.00"
MERCEDES-BENZ,2014,Foreign Used,83189,2000,Petrol,Automatic,"?11,232,000.00"
TOYOTA,2018,Foreign Used,106543,2800,Petrol,Automatic,"?13,520,000.00"
TOYOTA,2008,Foreign Used,86802,2400,Petrol,Automatic,"?3,045,000.00"
TOYOTA,2013,Foreign Used,195785,3500,Petrol,Automatic,"?10,400,000.00"
TOYOTA,2008,Nigerian Used,155618,2400,Petrol,Automatic,"?3,016,000.00"
MERCEDES-BENZ,2016,Foreign Used,12053,35000,Petrol,Automatic,"?13,520,000.00"
LEXUS,2017,Foreign Used,26250,3500,Petrol,Automatic,"?23,920,000.00"
